Designator,Mid X,Mid Y,Layer,Rotation
C1,4.826,10.922,Top,90
C10,4.953,22.479,Top,180
C11,4.953,21.59,Top,180
C12,13.215,6.731,Top,90
C2,18.755,11.811,Top,0
C3,25.019,14.859,Top,180
C4,28.956,14.732,Top,0
C5,23.4205,12.7111,Top,270
C6,23.622,9.017,Top,180
C8,11.818,4.826,Top,0
C9,12.072,6.731,Top,270
D1,25.527,4.953,Top,0
D2,25.527,6.223,Top,0
D3,25.527,7.493,Top,0
IC001,10.5,12.065,Top,0
IC002,26.416,11.938,Top,180
IC003,9.151,5.969,Top,0
R1,5.842,10.668,Top,90
R10,22.098,4.699,Top,0
R2,28.695,15.8677,Top,0
R3,28.575,8.763,Top,180
R4,28.575,7.747,Top,180
R5,22.098,7.62,Top,180
R6,4.96,6.604,Top,90
R7,6.096,7.747,Top,270
R8,22.098,6.604,Top,0
R9,22.098,5.715,Top,0
SW1,19.2532,6.0452,Top,0
SW2,16.129,6.0452,Top,0
