timestamp,difference_x
252127,64
252328,16
252529,-20
252730,-35
252931,-43
253132,-61
253333,-69
253534,-73
253735,-93
253936,-97
254137,-5
254338,-29
254539,-41
254740,-27
254941,-20
255142,-33
255343,-3
255544,-41
255745,-41
255946,-84
256147,-99
256348,-101
256549,-80
256750,-82
256951,-91
257152,-44
257353,-5
257554,-50
257755,-54
257956,-12
258157,4
258358,-16
258559,1
258760,44
258961,-16
259162,-46
259363,-51
259564,-58
259765,-28
259966,-36
260167,-9
260368,22
260569,17
260770,48
260971,0
261172,-24
261373,-6
261574,1
261775,9
261976,7
262177,-8
262378,14
262579,10
262780,-44
262981,-42
263182,-46
263383,-42
263584,-58
263785,-86
263986,-102
264187,0
264388,0
264589,0
264790,0
264991,0
265192,0
265393,0
265594,0
265795,0
265996,0
266197,0
266398,0
266599,0
266800,0
267001,0
267202,0
267403,0
267604,0
267805,0
268006,0
268207,0
268408,0
268609,0
268810,0
269011,0
269212,0
269413,0
269614,0
269815,0
270016,0
270217,0
270418,0
270619,0
270820,0
271021,0
271222,0
271423,0
271624,0
271825,0
272026,0
272227,0
272428,0
272629,0
272830,0
273031,0
273232,0
273433,-60
273634,-107
273835,-103
274036,-65
274237,-93
274438,-95
274639,-92
274840,-154
275041,-157
275242,-125
275443,-136
275644,-140
275845,-143
276046,-132
276247,-153
276448,-165
276649,-171
276850,-158
277051,-171
277252,-174
277453,-160
277654,-163
277855,-158
278056,-135
278257,-159
278458,-168
278659,-163
278860,-186
279061,-199
279262,-194
279463,-223
279664,-225
279865,-210
280066,-181
280267,-197
280468,-170
280669,-151
280870,-140
281071,-157
281272,-165
281473,-153
281674,-133
281875,-126
282076,0
282277,0
282478,0
282679,0
282880,0
283081,0
283282,0
283483,0
283684,0
283885,0
284086,0
284287,0
284488,0
284689,0
284890,0
285091,0
285292,0
285493,0
285694,0
285895,0
286096,0
286297,0
286498,0
286699,0
286900,0
287101,0
287302,0
287503,0
287704,0
287905,0
288106,0
288307,0
288508,0
288709,0
288910,0
289111,0
289312,0
289513,0
289714,0
289915,0
290116,0
290317,0
290518,0
290719,-128
290920,-123
291121,-96
291322,-82
291523,-30
291724,-12
291925,-30
292126,-32
292327,29
292528,-16
292729,-39
292930,-54
293131,-80
293332,-94
293533,-15
293734,-56
293935,-72
294136,-54
294337,-36
294538,-31
294739,-38
294940,-73
295141,-73
