timestamp,difference_y
119735,0
119936,0
120137,0
120338,0
120539,0
120740,0
120941,0
121142,0
121343,0
121544,0
121745,0
121946,0
122147,0
122348,0
122549,0
122750,0
122951,0
123152,0
123353,0
123554,0
123755,0
123956,0
124157,0
124358,0
124559,0
124760,0
124961,0
125162,0
125363,0
125564,0
125765,0
125966,0
126167,0
126368,0
126569,43
126770,17
126971,19
127172,43
127373,42
127574,41
127775,49
127976,48
128177,55
128378,67
128579,69
128780,66
128981,42
129182,38
129383,84
129584,-15
129785,-6
129986,-32
130187,-38
130388,-115
130589,-90
130790,-104
130991,-71
131192,-129
131393,-205
131594,-120
131795,-141
131996,-134
132197,-55
132398,-101
132599,-30
132800,75
133001,0
133202,0
133403,0
133604,0
133805,0
134006,0
134207,0
134408,0
134609,0
134810,0
135011,0
135212,0
135413,0
135614,0
135815,0
136016,0
136217,0
136418,0
136619,0
136820,0
137021,0
137222,0
137423,0
137624,0
137825,0
138026,0
138227,0
138428,0
138629,0
138830,0
139031,0
139232,0
139433,0
139634,401
139835,399
140036,388
140237,407
140438,421
140639,423
140840,403
141041,418
141242,412
141443,362
141644,364
141845,369
142046,378
142247,389
142448,388
142649,378
142850,372
143051,322
143252,276
143453,275
143654,309
143855,310
144056,348
144257,353
144458,379
144659,358
144860,386
145061,382
145262,255
145463,151
145664,0
145865,0
146066,0
146267,0
146468,0
146669,0
146870,0
147071,0
147272,0
147473,0
147674,0
147875,0
148076,0
148277,0
148478,0
148679,0
148880,0
149081,0
149282,0
149483,0
149684,0
149885,0
150086,0
150287,0
150488,0
150689,0
150890,0
151091,0
151292,0
151493,0
151694,0
151895,0
152096,112
152297,112
152498,89
152699,88
152900,95
153101,80
153302,92
153503,93
153704,97
153905,97
154106,100
154307,101
154508,106
154709,114
154910,118
155111,122
155312,131
155513,108
155714,84
155915,60
156116,87
156317,84
156518,65
156719,66
156920,13
157121,52
157322,72
157523,14
157724,32
157925,155
158126,216
158327,186
158528,0
158729,0
158930,0
159131,0
159332,0
159533,0
159734,0
159935,0
160136,0
160337,0
160538,0
160739,0
160940,0
161141,0
161342,0
161543,0
161744,0
161945,0
162146,0
162347,0
162548,0
162749,0
162950,0
163151,0
163352,0
163553,0
163754,0
163955,0
164156,0
164357,0
164558,0
164759,0
164960,0
165161,289
165362,328
165563,360
165764,368
165965,377
166166,403
166367,414
166568,338
166769,290
166970,283
167171,315
167372,336
167573,364
167774,403
167975,412
168176,398
168377,371
168578,316
168779,292
168980,262
169181,280
169382,286
169583,288
169784,332
169985,338
170186,356
170387,331
170588,354
170789,256
170990,121
171191,23
171392,0
171593,0
171794,0
171995,0
172196,0
172397,0
172598,0
172799,0
173000,0
173201,0
173402,0
173603,0
173804,0
174005,0
174206,0
174407,0
174608,0
174809,0
175010,0
175211,0
175412,0
175613,0
175814,0
176015,0
176216,0
176417,0
176618,0
176819,0
177020,0
177221,128
177422,109
177623,111
177824,99
178025,113
178226,107
178427,128
178628,147
178829,133
179030,145
179231,148
179432,146
179633,159
